"Czy aktualnie stosujesz suplementy diety?";"Jak często stosujesz suplementy?";"Od jak dawna stosujesz suplementy?";"Jakie suplementy stosujesz? (możesz wybrać więcej odpowiedzi)";"Czy zdarza Ci się przyjmować większą dawkę suplementu niż ta zalecana przez producenta na opakowaniu (np. dwie tabletki zamiast jednej)?";"Jeśli stosujesz więcej niż jeden preparat jednocześnie, czy sprawdzasz, czy ich składniki się nie powielają (np. czy witamina D nie znajduje się zarówno w multiwitaminie, jak i w osobnym preparacie)?";"Czy decyzję o suplementacji konkretnego składnika (np. żelaza, witaminy D, magnezu) poprzedziłeś/aś wykonaniem badań krwi w celu stwierdzenia niedoboru?";"Czy konsultujesz suplementację ze specjalistą?";"Dlaczego stosujesz suplementy? (możesz wybrać więcej odpowiedzi)"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D,Magnez,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki,Białko";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Kilka razy w miesiącu";"< 3 miesięcy";"Witamina D,Magnez,Kwasy omega-3,Białko";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z dietetykiem";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Kwasy omega-3,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zlecone przez lekarza"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Multiwitaminy,Kwasy omega-3,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"3–12 miesięcy";"Multiwitaminy,Kwasy omega-3,Probiotyki";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Stosuję tylko jeden preparat.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Kreatyna,Białko,Cytrulina,Beta-alanina";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Inne";"Poprawa wyników sportowych i regeneracji"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Tak, z dietetykiem";"Poprawa zdrowia,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Witamina C,Kwasy omega-3,Probiotyki,Witamina A,Witamina E,Witamina K,B6,B12,Cynk,Kwas foliowy";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia"
"Tak";"Codziennie";">3 lat";"Witamina D,Kreatyna";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Zwiększenie energii"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Magnez,Witamina C,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii"
"Tak";"Codziennie";">3 lat";"Witamina D,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Inne";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Kwasy omega-3,Kreatyna,B kompleks,Laktoferyna";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Probiotyki,Kreatyna";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Wzmocnienie odporności"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Kreatyna,Białko,Żelazo";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z dietetykiem";"Poprawa zdrowia,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji"
"Tak";"Sporadycznie";"3–12 miesięcy";"Witamina D";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Stosuję tylko jeden preparat.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Wzmocnienie odporności"
"Tak";"Codziennie";"1–3 lata";"Magnez,Kwasy omega-3,Probiotyki,Adaptogeny (np. ashwagandha)";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Stosuję tylko jeden preparat.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Poprawa samopoczucia"
"Tak";"Codziennie";"< 3 miesięcy";"Multiwitaminy";"Nigdy – stosuję się ściśle do zaleceń.";"Stosuję tylko jeden preparat.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z farmaceutą";"Poprawa wyglądu (skóra włosy paznokcie)"
"Tak";"Kilka razy w tygodniu";"< 3 miesięcy";"Witamina D,Kwasy omega-3,Witamina E";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra włosy paznokcie),Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko,Adaptogeny (np. ashwagandha)";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Magnez,Multiwitaminy,Kwasy omega-3,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z dietetykiem";"Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Witamina C,Multiwitaminy";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Poprawa wyglądu (skóra włosy paznokcie)"
"Tak";"Codziennie";"< 3 miesięcy";"Białko";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa samopoczucia"
"Tak";"Kilka razy w tygodniu";"3–12 miesięcy";"Magnez,Multiwitaminy,Kwasy omega-3,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina C,Multiwitaminy,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z farmaceutą";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie)"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa samopoczucia"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Probiotyki";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Czasami zwracam na to uwagę";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie)"
"Tak";"Kilka razy w tygodniu";"< 3 miesięcy";"Witamina D,Magnez,Witamina C,Glutation liposomalny";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z dietetykiem";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa samopoczucia"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Probiotyki,Cytrynian magnezu";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Sporadycznie";"1–3 lata";"Multiwitaminy,Kwasy omega-3,Probiotyki";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności"
"Tak";"Kilka razy w tygodniu";">3 lat";"Witamina D,Witamina C,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Tak, z farmaceutą";"Poprawa zdrowia,Zwiększenie energii,Poprawa koncentracji"
"Tak";"Sporadycznie";"3–12 miesięcy";"Magnez,Witamina C,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji"
"Tak";"Sporadycznie";"3–12 miesięcy";"Witamina C,Multiwitaminy";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Poprawa zdrowia"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Magnez,Probiotyki,Białko";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Kwasy omega-3,Kwas foliowy";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Kreatyna";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Multiwitaminy";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa samopoczucia"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Magnez,Kwasy omega-3,Probiotyki,Kreatyna,Adaptogeny (np. ashwagandha)";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Witamina C,Kwasy omega-3,Probiotyki,Maślan sodu,B kompleks,Laktoferyna";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Inne";"Obniżony poziom witaminy D"
"Tak";"Kilka razy w tygodniu";"< 3 miesięcy";"Multiwitaminy";"Nigdy – stosuję się ściśle do zaleceń.";"Stosuję tylko jeden preparat.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Wzmocnienie odporności"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D,Multiwitaminy,Białko";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Nie, nie sprawdzam tego.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa samopoczucia"
"Tak";"Kilka razy w tygodniu";"3–12 miesięcy";"Kreatyna,Białko";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa koncentracji"
"Tak";"Sporadycznie";"1–3 lata";"Multiwitaminy";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie)"
"Tak";"Codziennie";"3–12 miesięcy";"Probiotyki,Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa wyglądu (skóra włosy paznokcie)"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Witamina B";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zwiększenie energii,Poprawa samopoczucia"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Magnez,Multiwitaminy,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii"
"Tak";"Sporadycznie";"3–12 miesięcy";"Multiwitaminy,Kwasy omega-3";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Stosuję tylko jeden preparat.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Poprawa wyglądu (skóra włosy paznokcie),Poprawa samopoczucia"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Magnez,B kompleks";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Choroba"
"Tak";"Kilka razy w tygodniu";">3 lat";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z farmaceutą";"Poprawa zdrowia,Zapobieganie niedoborom,Zwiększenie energii,Poprawa samopoczucia"
